"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"09-02-2014";"21:00";2,7;-0,3;82;240;11,2;;16,6;0;1006,2;968,2;0
11012;"Kremsmünster";383;"09-02-2014";"21:00";4,5;-1,8;64;240;18,7;249;43,9;0;1005,6;958,8;0
11022;"Retz";320;"09-02-2014";"21:00";2,3;;96;202;5;267;22;0;1004,2;965,4;0
11035;"Wien/Hohe Warte";203;"09-02-2014";"21:00";5;1,2;75;285;18;281;32,4;0;1004,1;978,9;0
11036;"Wien/Schwechat";183;"09-02-2014";"21:00";3,2;2,8;96;40;7,6;;9,4;0;1004,4;982,4;0
11101;"Bregenz";424;"09-02-2014";"21:00";2,8;-4,3;61;151;12,6;143;17,6;0;1005,9;953,3;0
11121;"Innsbruck";579;"09-02-2014";"21:00";0,4;0;97;285;9,7;291;13,7;0;1008,4;938;0
11126;"Patscherkofel";2247;"09-02-2014";"21:00";-8,4;-13;70;191;25,2;199;31,7;0;;760,1;0
11130;"Kufstein";495;"09-02-2014";"21:00";2,1;0,8;93;218;7,9;213;19,1;0;1007,3;948,1;0
11150;"Salzburg";430;"09-02-2014";"21:00";0,4;-0,4;98;160;13;;22,3;0;1007;953;0
11155;"Feuerkogel";1618;"09-02-2014";"21:00";-4,2;-8,5;73;288;24,5;248;64,8;0;;822,7;0
11157;"Aigen im Ennstal";640;"09-02-2014";"21:00";0,2;-0,4;96;286;2,5;85;10,1;0;1008,1;930;0
11171;"Mariazell";866;"09-02-2014";"21:00";-0,6;-2,6;88;16;5,4;359;13;0;1006,9;904,6;0
11190;"Eisenstadt";184;"09-02-2014";"21:00";3,6;2,2;90;248;7,9;326;15,1;0;1004,3;982,1;0
11204;"Lienz";659;"09-02-2014";"21:00";-0,2;-0,4;100;320;4,3;38;8,6;0;1009,2;929;0
11240;"Graz/Flughafen";340;"09-02-2014";"21:00";0,8;0,5;99;0;1,8;;3,6;0;1006,5;962,2;0
11244;"Bad Gleichenberg";280;"09-02-2014";"21:00";1,3;;97;359;1,8;317;9,4;0;1006,6;973,4;0
11265;"Villacher Alpe";2140;"09-02-2014";"21:00";-7;-8,1;93;351;17,6;355;33,1;0;;769,3;0
11331;"Klagenfurt/Flughafen";447;"09-02-2014";"21:00";0,8;0,7;100;302;2,5;292;10,1;0;1008;953,2;0
11343;"Sonnblick";3105;"09-02-2014";"21:00";-15,6;-17,8;84;289;40,7;291;64,8;;;679,3;0
11389;"St. Pölten";270;"09-02-2014";"21:00";3,4;1,4;87;226;13;212;23,8;0;1005,4;972,7;0
